Tipe Silang,Tgl Beli,No LPB,Sales Beli,Supplier,Nama Barang,Qty Silang,HPP Beli,Tgl Jual,No SJ,Sales Jual,Customer
BC dipakai PF,2026-03-30,KB-LPBD-20260330-008,BC,"PT LOTTE MART INDONESIA","Sedaap Mie Goreng Isi 5 Bag 90Gr 8 X 5 X 91 Gr",400,88648.648,2026-04-06,SJ-791-17012026-001,PF,"PT. FORTUNE REEF ZONA"
BC dipakai PF,2026-01-28,KB-LPBD-28012026-012,BC,"PT SAYAP MAS UTAMA","Sedaap Mie Soto Isi 5 5X8X75 Gr",275,92505.24,2026-04-06,SJ-791-17012026-001,PF,"PT. FORTUNE REEF ZONA"
BC dipakai PF,2026-03-01,KB-LPBD-20260302004,BC,"PT LOTTE MART INDONESIA","Sedaap Mie Soto Isi 5 5X8X75 Gr",25,86486.48,2026-04-06,SJ-791-17012026-001,PF,"PT. FORTUNE REEF ZONA"
PF dipakai BC,2026-02-03,KB-LPBD-03022026-001,PF,"PT. Lina Jaya Mart","Nescafe Ice Coffee Latte Can 220 ml",50,104504.504,2026-04-06,SJ-453-14012026-002,BC,"PT. INTRADITA PROSIMPEX"
PF dipakai BC,2026-03-08,KB-LPBD-20260308-001,PF,"PT INTI CAKRAWALA CITRA","Kit Kat Chocolate Drink 220Ml X 24",1000,198198.198,2026-04-06,SJ-375-19012026-003,BC,"PT. SANIKI DISTRIBUTION INDONESIA"
BC dipakai PF,2026-05-04,KB-LPB-04052026-008,BC,"Hypermart - Supermal Karawaci","Ellips Hair Vitamin Hair Shiny Black Blister (Hitam) 6x6x12",2,655200,2026-07-03,SJ-814-03072026-003,PF,"PT. RAJA IMPEX"
BC dipakai PF,2026-05-04,KB-LPB-04052026-008,BC,"Hypermart - Supermal Karawaci","Ellips Hair Vitamin Hair Nutri Color Blister (Ungu)",2,655200,2026-04-06,SJ-581-20012026-004,PF,"PT. PUTERA MAKMUR TRADING"
BC dipakai PF,2026-05-04,KB-LPB-04052026-009,BC,"HYPERMART GOURMENT","Ellips Hair Vitamin Hair Nutri Color Blister (Ungu)",2,655200,2026-04-06,SJ-581-20012026-004,PF,"PT. PUTERA MAKMUR TRADING"
BC dipakai PF,2026-05-05,KB-LPB-05052026-001,BC,"Hypermart - Cyberpark Karawaci LKU","Ellips Hair Vitamin Hair Nutri Color Blister (Ungu)",2,655200,2026-04-06,SJ-581-20012026-004,PF,"PT. PUTERA MAKMUR TRADING"
BC dipakai PF,2026-05-05,KB-LPB-05052026-002,BC,"HYPERMART - MALL CIPUTRA CIBUBUR","Ellips Hair Vitamin Hair Nutri Color Blister (Ungu)",2,655200,2026-04-06,SJ-581-20012026-004,PF,"PT. PUTERA MAKMUR TRADING"
BC dipakai PF,2026-05-06,KB-LPB-06052026-004,BC,"HYPERMART GADING SERPONG","Ellips Hair Vitamin Hair Nutri Color Blister (Ungu)",2,655200,2026-04-06,SJ-581-20012026-004,PF,"PT. PUTERA MAKMUR TRADING"
BC dipakai PF,2026-05-07,KB-LPB-07052026-002,BC,"FMT MAXX BOX","Ellips Hair Vitamin Hair Nutri Color Blister (Ungu)",2,655200,2026-04-06,SJ-581-20012026-004,PF,"PT. PUTERA MAKMUR TRADING"
BC dipakai PF,2026-02-25,KB-LPBD-25022026-003,BC,"Hypermart - Cyberpark Karawaci LKU","Abc Kecap Pet 600Ml",100,229275.7,2026-04-06,SJ-798-20012026-006,PF,"PB"
PF dipakai BC,2026-03-08,KB-LPBD-20260408-001,PF,"CV SAMUDRA JAYA ABADI","Gatsby Water Gloss Hyper Solid 48X150Gr",20,588828.83,2026-04-06,SJ-279-21012026-003,BC,"PT. MITRA ASIA SYNERGY"
PF dipakai BC,2026-03-04,KB-LPBD-20260304-008,PF,"CV SAMUDRA JAYA ABADI","Gatsby Water Gloss Hard 96X75Gr",10,619819.82,2026-04-06,SJ-279-21012026-003,BC,"PT. MITRA ASIA SYNERGY"
PF dipakai BC,2026-03-04,KB-LPBD-20260304-008,PF,"CV SAMUDRA JAYA ABADI","Gatsby Water Gloss Super Hard 96X75Gr",10,619819.82,2026-04-06,SJ-279-21012026-003,BC,"PT. MITRA ASIA SYNERGY"
PF dipakai BC,2026-03-04,KB-LPBD-20260304-008,PF,"CV SAMUDRA JAYA ABADI","Gatsby Water Gloss Hyper Solid 96X75Gr",20,619819.82,2026-04-06,SJ-279-21012026-003,BC,"PT. MITRA ASIA SYNERGY"
PF dipakai BC,2026-03-08,KB-LPBD-20260408-001,PF,"CV SAMUDRA JAYA ABADI","Gatsby Water Gloss Super Hard 150Grx48",7,588828.83,2026-04-06,SJ-279-21012026-003,BC,"PT. MITRA ASIA SYNERGY"
PF dipakai BC,2026-04-12,KB-LPBD-12042026-001,PF,"CV SAMUDRA JAYA ABADI","Gatsby Water Gloss Super Hard 150Grx48",1,588828.828,2026-04-06,SJ-279-21012026-003,BC,"PT. MITRA ASIA SYNERGY"
